0	999	0
1000	1999	81
2000	2999	87
3000	3999	132
4000	4999	138
5000	5999	171
6000	6999	186
7000	7999	207
8000	8999	186
9000	9999	172
10000	10999	134
11000	11999	98
12000	12999	76
13000	13999	67
14000	14999	42
15000	15999	27
16000	16999	27
17000	17999	22
18000	18999	13
19000	19999	7
20000	20999	6
21000	21999	9
22000	22999	6
23000	23999	1
24000	24999	1
25000	25999	3
26000	26999	1
27000	27999	1
28000	28999	0
29000	29999	0
30000	30999	0
31000	31999	1
32000	32999	0
33000	33999	0
34000	34999	0
35000	35999	0
36000	36999	0
37000	37999	0
38000	38999	1
39000	39999	0
40000	40999	0
41000	41999	0
42000	42999	1
43000	43999	0
44000	44999	1
